response_id,company,employee_id,title,role_level,team_segment,location,tenure_band,tenure_months,response_date,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4,I1,I2,I3,I4,J1,J2,J3,J4,K1,K2,K3,K4,K5,L1,L2,L3
DT-2026Q2-0001,DemoTech,DT-10001,Enterprise AE,Individual Contributor,Enterprise,"San Francisco, CA (HQ)",2–5 years,40,2025-04-05,4,2,4,4,4,4,5,5,5,4,3,3,4,5,4,3,4,2,3,4,4,3,4,4,5,3,4,2,1,2,2,4,4,3,4,3,4,4,4,5,4,5,4,4,Deal desk gives different pricing guidance depending on who is on shift.,Publish a single source of truth for stage definitions and enforce it in Gong.,"MQLs from the last campaign were mostly students and consultants, not buyers."
DT-2026Q2-0002,DemoTech,DT-10002,Enterprise AE,Individual Contributor,Enterprise,"New York, NY",2–5 years,35,2025-04-06,3,4,5,3,4,5,4,4,5,3,3,4,5,3,4,3,2,3,3,3,4,5,2,4,3,4,2,5,3,4,3,2,4,4,3,3,3,5,3,4,2,4,3,3,We need ROI calculators for mid-market CFOs — I build them in Google Sheets weekly.,Run monthly live objection labs instead of async enablement modules.,Product marketing launches features before sales knows how to position them.
DT-2026Q2-0003,DemoTech,DT-10003,BDR,Individual Contributor,Mid-Market,"San Francisco, CA (HQ)",5+ years,117,2025-05-17,4,3,5,4,4,3,5,5,5,5,5,3,3,3,4,4,5,3,3,4,3,3,3,2,5,4,5,4,4,3,2,3,5,3,4,2,4,3,3,3,5,4,4,4,"My manager runs tight pipeline reviews with real coaching, not just inspection.",Build demo environment stability into our own dogfooding SLA.,Our demo platform is genuinely best-in-class — buyers feel it on the first call.
DT-2026Q2-0004,DemoTech,DT-10004,Strategic AE,Individual Contributor,Strategic,"San Francisco, CA (HQ)",6–12 months,7,2025-05-03,3,3,2,4,3,2,4,4,3,4,4,4,3,4,4,3,2,2,4,4,3,3,4,5,4,4,2,3,4,4,3,3,3,3,4,4,4,3,3,4,5,3,4,4,Product marketing launches features before sales knows how to position them.,Cap legal review SLA at 5 business days for deals under $150K ARR.,We have six different definitions of 'qualified' depending on who you ask.
DT-2026Q2-0005,DemoTech,DT-10005,BDR,Individual Contributor,Mid-Market,"London, UK",6–12 months,7,2025-04-24,3,4,2,4,3,4,2,4,4,4,4,3,4,3,3,3,4,4,2,3,3,4,3,4,4,4,2,4,3,3,2,3,4,4,3,3,3,4,4,4,3,5,3,5,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Simplify the comp plan to one page with worked examples.,Stage definitions change every quarter and my manager interprets them differently than RevOps.
DT-2026Q2-0006,DemoTech,DT-10006,Solutions Consultant,Individual Contributor,Mid-Market,"Austin, TX",6–12 months,7,2025-04-09,3,4,3,5,4,3,4,5,5,4,4,3,3,4,4,3,2,4,3,3,5,3,3,4,3,4,3,3,2,4,3,3,3,4,3,3,2,3,5,3,4,4,4,5,Product marketing launches features before sales knows how to position them.,Standardize SDR-to-AE handoff notes with required fields in Salesforce.,Deal desk gives different pricing guidance depending on who is on shift.
DT-2026Q2-0007,DemoTech,DT-10007,Sales Manager,Front-line Manager,Mid-Market,"Denver, CO",6–12 months,12,2025-04-13,5,2,4,5,3,4,4,3,4,4,3,5,4,3,3,2,4,3,3,3,4,3,4,3,4,4,4,2,2,2,2,4,3,5,5,4,2,3,3,2,3,4,3,3,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Cap legal review SLA at 5 business days for deals under $150K ARR.,Product marketing launches features before sales knows how to position them.
DT-2026Q2-0008,DemoTech,DT-10008,Commercial AE,Individual Contributor,Commercial,"London, UK",2–5 years,37,2025-05-22,5,3,5,3,3,5,5,4,3,5,3,3,3,4,2,4,3,3,4,4,3,3,4,3,4,3,4,3,3,4,3,3,3,4,4,5,3,4,4,4,4,3,5,4,Enablement content is built for Commercial but I'm Enterprise — I adapt everything.,Standardize SDR-to-AE handoff notes with required fields in Salesforce.,Legal review on enterprise deals takes 2–3 weeks and champions go dark.
DT-2026Q2-0009,DemoTech,DT-10009,Mid-Market AE,Individual Contributor,Mid-Market,Remote — US East,2–5 years,60,2025-05-25,4,3,3,3,4,3,5,3,3,4,3,5,4,2,3,3,4,3,3,4,3,3,3,5,4,3,3,4,3,3,1,4,2,3,4,2,3,4,3,5,5,2,2,4,SE coverage is thin — I wait three days for a technical win on competitive deals.,Give remote reps the same GTM briefings HQ gets in hallway conversations.,Security questionnaire responses are copy-paste from last year and buyers catch it.
DT-2026Q2-0010,DemoTech,DT-10010,Mid-Market AE,Individual Contributor,Mid-Market,Remote — US West,1–2 years,23,2025-05-24,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,2,4,3,3,3,3,1,3,3,4,4,2,3,1,3,3,4,4,3,2,4,5,3,3,2,3,5,5,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Build demo environment stability into our own dogfooding SLA.,Partner referrals arrive with no context and unrealistic close timelines.
